date,PS5 Pro,iPhone 17,Air Jordan 11,Owala FreeSip,Nvidia RTX 5090
2024-10-27,24,1,19,10,3
2024-11-03,62,1,20,11,4
2024-11-10,46,1,28,13,3
2024-11-17,36,1,29,15,3
2024-11-24,36,2,47,21,4
2024-12-01,29,1,47,26,3
2024-12-08,25,1,62,24,4
2024-12-15,25,1,62,20,5
2024-12-22,31,1,46,14,8
2024-12-29,25,2,33,13,8
2025-01-05,20,2,29,11,100
2025-01-12,17,1,25,12,23
2025-01-19,16,2,23,12,35
2025-01-26,15,2,22,24,80
2025-02-02,16,2,27,19,38
2025-02-09,16,2,24,22,24
2025-02-16,15,2,22,19,23
2025-02-23,16,2,24,17,21
2025-03-02,14,2,23,20,21
2025-03-09,13,2,22,15,18
2025-03-16,15,2,23,19,21
2025-03-23,14,2,20,17,18
2025-03-30,14,2,24,18,15
2025-04-06,12,3,21,15,13
2025-04-13,13,3,20,16,15
2025-04-20,13,3,31,17,14
2025-04-27,13,3,29,17,14
2025-05-04,22,3,22,15,14
2025-05-11,18,3,23,17,15
2025-05-18,13,3,21,18,15
2025-05-25,16,3,21,21,14
2025-06-01,15,4,21,18,16
2025-06-08,15,4,22,19,15
2025-06-15,13,4,21,19,14
2025-06-22,13,4,17,18,14
2025-06-29,12,5,18,17,13
2025-07-06,13,5,19,24,15
2025-07-13,13,6,21,28,15
2025-07-20,16,6,21,32,19
2025-07-27,17,8,24,37,26
2025-08-03,19,9,27,54,48
2025-08-10,18,11,31,62,61
2025-08-17,20,12,28,57,59
2025-08-24,19,14,29,53,54
2025-08-31,20,20,29,56,56
2025-09-07,19,100,29,53,53
2025-09-14,18,61,24,33,39
2025-09-21,21,58,27,35,49
2025-09-28,22,36,41,34,50
2025-10-05,22,30,34,37,43
2025-10-12,21,29,36,36,44
2025-10-19,20,27,38,37,43
2025-10-26,19,24,31,35,42
2025-11-02,20,25,73,40,38
2025-11-09,22,26,60,40,42
2025-11-16,26,26,48,90,39
2025-11-23,35,32,56,88,45
2025-11-30,26,27,50,59,49
2025-12-07,22,26,100,53,43
2025-12-14,23,28,96,54,49
2025-12-21,28,34,51,39,41
2025-12-28,24,28,36,32,47
2026-01-04,18,25,30,28,43
2026-01-11,17,24,30,31,41
2026-01-18,16,23,39,30,41
2026-01-25,18,23,28,30,41
2026-02-01,17,22,28,34,38
2026-02-08,17,22,39,34,35
2026-02-15,18,23,45,30,34
2026-02-22,19,22,37,32,36
2026-03-01,22,23,31,39,41
2026-03-08,23,22,27,40,45
2026-03-15,27,23,27,56,52
2026-03-22,34,22,34,100,55
2026-03-29,30,20,33,88,36
2026-04-05,20,20,38,74,43
2026-04-12,17,20,36,78,27
